"Bermudian Springs School District","3","1603","50","50"
"1","NeedGoogleMapsAPIKey","39.9229141","-77.0538377","1"
"2","NeedGoogleMapsAPIKey","39.918977","-77.0514612","1"
"3","NeedGoogleMapsAPIKey","39.9132317","-77.0500912","1"
"4","NeedGoogleMapsAPIKey","39.9231859","-77.0539415","1"
"5","NeedGoogleMapsAPIKey","39.9227766","-77.0543498","1"
"6","NeedGoogleMapsAPIKey","39.9216716","-77.0520624","1"
"7","NeedGoogleMapsAPIKey","39.9206826","-77.0574777","1"
"8","NeedGoogleMapsAPIKey","39.9235036","-77.0546933","1"
"9","NeedGoogleMapsAPIKey","39.9232956","-77.053413","1"
"10","NeedGoogleMapsAPIKey","39.9184741","-77.0505129","1"
"11","NeedGoogleMapsAPIKey","39.9188981","-77.0517998","1"
"12","NeedGoogleMapsAPIKey","39.9189007","-77.0493824","1"
"13","NeedGoogleMapsAPIKey","39.9182325","-77.0516715","1"
"14","NeedGoogleMapsAPIKey","39.9170773","-77.0574827","1"
"15","NeedGoogleMapsAPIKey","39.9214254","-77.0538049","1"
"16","NeedGoogleMapsAPIKey","39.9211715","-77.0534204","1"
"17","NeedGoogleMapsAPIKey","39.9217641","-77.0533005","1"
"18","NeedGoogleMapsAPIKey","39.9195114","-77.0518911","1"
"19","NeedGoogleMapsAPIKey","39.9219691","-77.0540118","1"
"20","NeedGoogleMapsAPIKey","39.9220357","-77.0577807","1"
"21","NeedGoogleMapsAPIKey","39.9237818","-77.0541938","1"
"22","NeedGoogleMapsAPIKey","39.919398","-77.0494073","1"
"23","NeedGoogleMapsAPIKey","39.9224974","-77.0542653","1"
"24","NeedGoogleMapsAPIKey","39.9188438","-77.0495331","1"
"25","NeedGoogleMapsAPIKey","39.9191893","-77.0521497","1"
"26","NeedGoogleMapsAPIKey","39.9212765","-77.0536745","1"
"27","NeedGoogleMapsAPIKey","39.9205672","-77.0522765","1"
"28","NeedGoogleMapsAPIKey","39.9197862","-77.0514453","1"
"29","NeedGoogleMapsAPIKey","39.9210362","-77.0523306","1"
"30","NeedGoogleMapsAPIKey","39.9233489","-77.0528601","1"
"31","NeedGoogleMapsAPIKey","39.9112051","-77.0583299","1"
"32","NeedGoogleMapsAPIKey","39.923896","-77.0540705","1"
"33","NeedGoogleMapsAPIKey","39.9224748","-77.0529478","1"
"34","NeedGoogleMapsAPIKey","39.9226414","-77.0530729","1"
"35","NeedGoogleMapsAPIKey","39.9218492","-77.0533589","1"
"36","NeedGoogleMapsAPIKey","39.921763","-77.0526719","1"
"37","NeedGoogleMapsAPIKey","39.9193759","-77.0495802","1"
"38","NeedGoogleMapsAPIKey","39.9193864","-77.0512993","1"
"39","NeedGoogleMapsAPIKey","39.9230509","-77.0539048","1"
"40","NeedGoogleMapsAPIKey","39.9221227","-77.0534736","1"
"41","NeedGoogleMapsAPIKey","39.9196498","-77.0499377","1"
"42","NeedGoogleMapsAPIKey","39.9218533","-77.0539697","1"
"43","NeedGoogleMapsAPIKey","39.9193134","-77.049746","1"
"44","NeedGoogleMapsAPIKey","39.9190779","-77.0509421","1"
"45","NeedGoogleMapsAPIKey","39.9191337","-77.0525106","1"
"46","NeedGoogleMapsAPIKey","39.9197229","-77.0495991","1"
"47","NeedGoogleMapsAPIKey","39.918513","-77.0521566","1"
"48","NeedGoogleMapsAPIKey","39.9220528","-77.0521888","1"
"49","NeedGoogleMapsAPIKey","39.9230865","-77.0545624","1"
"50","NeedGoogleMapsAPIKey","39.9212902","-77.051859","1"
"51","NeedGoogleMapsAPIKey","39.9086405","-77.0581952","1"
"52","NeedGoogleMapsAPIKey","39.922427","-77.052378","1"
"53","NeedGoogleMapsAPIKey","39.9237421","-77.0543337","1"
"54","NeedGoogleMapsAPIKey","39.9234762","-77.0529257","1"
"55","NeedGoogleMapsAPIKey","39.9222612","-77.05356","1"
"56","NeedGoogleMapsAPIKey","39.9198233","-77.051188","1"
"57","NeedGoogleMapsAPIKey","39.9235921","-77.0535622","1"
"58","NeedGoogleMapsAPIKey","39.9225346","-77.0536473","1"
"59","NeedGoogleMapsAPIKey","39.9195547","-77.0504492","1"
"60","NeedGoogleMapsAPIKey","39.9192799","-77.0518484","1"
"61","NeedGoogleMapsAPIKey","39.9211619","-77.0523716","1"
"62","NeedGoogleMapsAPIKey","39.9222295","-77.0522775","1"
"63","NeedGoogleMapsAPIKey","39.9212086","-77.0529625","1"
"64","NeedGoogleMapsAPIKey","39.9196951","-77.0497721","1"
"65","NeedGoogleMapsAPIKey","39.9184065","-77.0508064","1"
"66","NeedGoogleMapsAPIKey","39.9192123","-77.050235","1"
"67","NeedGoogleMapsAPIKey","39.9219443","-77.0521279","1"
"68","NeedGoogleMapsAPIKey","39.9226054","-77.052488","1"
"69","NeedGoogleMapsAPIKey","39.9193842","-77.0518849","1"
"70","NeedGoogleMapsAPIKey","39.9189433","-77.0516342","1"
"71","NeedGoogleMapsAPIKey","39.9190711","-77.0526764","1"
"72","NeedGoogleMapsAPIKey","39.9187753","-77.0496764","1"
"73","NeedGoogleMapsAPIKey","39.918884","-77.0504411","1"
"74","NeedGoogleMapsAPIKey","39.9198847","-77.0514894","1"
"75","NeedGoogleMapsAPIKey","39.9215268","-77.0519499","1"
"76","NeedGoogleMapsAPIKey","39.9186985","-77.0512989","1"
