"Bermudian Springs School District","1","556","50","50"
"1","NeedGoogleMapsAPIKey","39.9185687","-77.0518182","1"
"2","NeedGoogleMapsAPIKey","39.9226621","-77.053718","1"
"3","NeedGoogleMapsAPIKey","39.9188109","-77.0507722","1"
"4","NeedGoogleMapsAPIKey","39.9203271","-77.0521376","1"
"5","NeedGoogleMapsAPIKey","39.9202546","-77.0529677","1"
"6","NeedGoogleMapsAPIKey","39.9214261","-77.0519067","1"
"7","NeedGoogleMapsAPIKey","39.9195254","-77.0513354","1"
"8","NeedGoogleMapsAPIKey","39.9191337","-77.0525106","1"
"9","NeedGoogleMapsAPIKey","39.9179739","-77.0471188","1"
"10","NeedGoogleMapsAPIKey","39.9223576","-77.0542024","1"
"11","NeedGoogleMapsAPIKey","39.9227854","-77.0525767","1"
"12","NeedGoogleMapsAPIKey","39.9235036","-77.0546933","1"
"13","NeedGoogleMapsAPIKey","39.9216348","-77.0531123","1"
"14","NeedGoogleMapsAPIKey","39.9202824","-77.0514602","1"
"15","NeedGoogleMapsAPIKey","39.9228169","-77.0531586","1"
"16","NeedGoogleMapsAPIKey","39.9195114","-77.0518911","1"
"17","NeedGoogleMapsAPIKey","39.9188089","-77.0523338","1"
"18","NeedGoogleMapsAPIKey","39.9189007","-77.0493824","1"
"19","NeedGoogleMapsAPIKey","39.918637","-77.0516373","1"
"20","NeedGoogleMapsAPIKey","39.9230659","-77.0532635","1"
"21","NeedGoogleMapsAPIKey","39.9234648","-77.0549192","1"
"22","NeedGoogleMapsAPIKey","39.9212765","-77.0536745","1"
"23","NeedGoogleMapsAPIKey","39.922782","-77.0537746","1"
"24","NeedGoogleMapsAPIKey","39.9196274","-77.0491046","1"
"25","NeedGoogleMapsAPIKey","39.9218533","-77.0539697","1"
"26","NeedGoogleMapsAPIKey","39.9197229","-77.0495991","1"
"27","NeedGoogleMapsAPIKey","39.9274476","-77.0572345","1"
"28","NeedGoogleMapsAPIKey","39.9299339","-77.0572419","1"
"29","NeedGoogleMapsAPIKey","39.92878","-77.059095","1"
"30","NeedGoogleMapsAPIKey","39.9271775","-77.0566854","1"
"31","NeedGoogleMapsAPIKey","39.9242331","-77.0798179","1"
"32","NeedGoogleMapsAPIKey","39.9277268","-77.0606696","1"
"33","NeedGoogleMapsAPIKey","39.9315629","-77.0594125","1"
"34","NeedGoogleMapsAPIKey","39.9315768","-77.0587166","1"
"35","NeedGoogleMapsAPIKey","39.9266849","-77.0569216","1"
"36","NeedGoogleMapsAPIKey","39.9289951","-77.078533","1"
"37","NeedGoogleMapsAPIKey","39.935975","-77.0617147","1"
"38","NeedGoogleMapsAPIKey","39.9291764","-77.0589925","1"
"39","NeedGoogleMapsAPIKey","39.9295647","-77.0586434","1"
"40","NeedGoogleMapsAPIKey","39.9305744","-77.0702263","1"
"41","NeedGoogleMapsAPIKey","39.9269028","-77.056495","1"
"42","NeedGoogleMapsAPIKey","39.9334412","-77.0588258","1"
"43","NeedGoogleMapsAPIKey","39.9240539","-77.0535578","1"
"44","NeedGoogleMapsAPIKey","39.9277669","-77.0614162","1"
"45","NeedGoogleMapsAPIKey","39.9344502","-77.0594407","1"
"46","NeedGoogleMapsAPIKey","39.9314062","-77.0715349","1"
"47","NeedGoogleMapsAPIKey","39.9253838","-77.0636629","1"
"48","NeedGoogleMapsAPIKey","39.9349458","-77.0610925","1"
"49","NeedGoogleMapsAPIKey","39.9366119","-77.0567303","1"
"50","NeedGoogleMapsAPIKey","39.9317567","-77.0421057","1"
"51","NeedGoogleMapsAPIKey","39.9317352","-77.0464023","1"
"52","NeedGoogleMapsAPIKey","39.9334875","-77.0498721","1"
"53","NeedGoogleMapsAPIKey","39.9309942","-77.0439872","1"
"54","NeedGoogleMapsAPIKey","39.9355062","-77.0581113","1"
"55","NeedGoogleMapsAPIKey","39.9322776","-77.0462737","1"
"56","NeedGoogleMapsAPIKey","39.932659","-77.0413632","1"
"57","NeedGoogleMapsAPIKey","39.9316397","-77.0491127","1"
