"Bermudian Springs School District","1","498","50","50"
"1","NeedGoogleMapsAPIKey","39.9191893","-77.0521497","1"
"2","NeedGoogleMapsAPIKey","39.9197314","-77.0519489","1"
"3","NeedGoogleMapsAPIKey","39.9194998","-77.0490383","1"
"4","NeedGoogleMapsAPIKey","39.9189865","-77.0492388","1"
"5","NeedGoogleMapsAPIKey","39.9194539","-77.0509833","1"
"6","NeedGoogleMapsAPIKey","39.9193134","-77.049746","1"
"7","NeedGoogleMapsAPIKey","39.9193864","-77.0512993","1"
"8","NeedGoogleMapsAPIKey","39.9185466","-77.0519836","1"
"9","NeedGoogleMapsAPIKey","39.9196951","-77.0497721","1"
"10","NeedGoogleMapsAPIKey","39.9202824","-77.0514602","1"
"11","NeedGoogleMapsAPIKey","39.921731","-77.0538996","1"
"12","NeedGoogleMapsAPIKey","39.919398","-77.0494073","1"
"13","NeedGoogleMapsAPIKey","39.9197229","-77.0495991","1"
"14","NeedGoogleMapsAPIKey","39.9189007","-77.0493824","1"
"15","NeedGoogleMapsAPIKey","39.9197862","-77.0514453","1"
"16","NeedGoogleMapsAPIKey","39.9235921","-77.0535622","1"
"17","NeedGoogleMapsAPIKey","39.9212086","-77.0529625","1"
"18","NeedGoogleMapsAPIKey","39.919145","-77.0505811","1"
"19","NeedGoogleMapsAPIKey","39.9222295","-77.0522775","1"
"20","NeedGoogleMapsAPIKey","39.9221134","-77.0540841","1"
"21","NeedGoogleMapsAPIKey","39.9232956","-77.053413","1"
"22","NeedGoogleMapsAPIKey","39.9222238","-77.0541418","1"
"23","NeedGoogleMapsAPIKey","39.9151568","-77.0527834","1"
"24","NeedGoogleMapsAPIKey","39.918637","-77.0516373","1"
"25","NeedGoogleMapsAPIKey","39.9310107","-77.0695091","1"
"26","NeedGoogleMapsAPIKey","39.9336755","-77.0585603","1"
"27","NeedGoogleMapsAPIKey","39.9289951","-77.078533","1"
"28","NeedGoogleMapsAPIKey","39.9301867","-77.0563325","1"
"29","NeedGoogleMapsAPIKey","39.9296283","-77.0584608","1"
"30","NeedGoogleMapsAPIKey","39.9299883","-77.0586156","1"
"31","NeedGoogleMapsAPIKey","39.928866","-77.0588182","1"
"32","NeedGoogleMapsAPIKey","39.9241427","-77.0545802","1"
"33","NeedGoogleMapsAPIKey","39.930889","-77.0667506","1"
"34","NeedGoogleMapsAPIKey","39.9288553","-77.0579713","1"
"35","NeedGoogleMapsAPIKey","39.9305744","-77.0702263","1"
"36","NeedGoogleMapsAPIKey","39.9283122","-77.0577417","1"
"37","NeedGoogleMapsAPIKey","39.9306107","-77.058425","1"
"38","NeedGoogleMapsAPIKey","39.9297419","-77.0577306","1"
"39","NeedGoogleMapsAPIKey","39.9296787","-77.0672502","1"
"40","NeedGoogleMapsAPIKey","39.9314062","-77.0715349","1"
"41","NeedGoogleMapsAPIKey","39.9281828","-77.0609629","1"
"42","NeedGoogleMapsAPIKey","39.9296601","-77.0583825","1"
"43","NeedGoogleMapsAPIKey","39.9271122","-77.0770761","1"
"44","NeedGoogleMapsAPIKey","39.9325361","-77.0433077","1"
"45","NeedGoogleMapsAPIKey","39.9306251","-77.0548237","1"
"46","NeedGoogleMapsAPIKey","39.9342403","-77.0558631","1"
"47","NeedGoogleMapsAPIKey","39.9349367","-77.0440726","1"
"48","NeedGoogleMapsAPIKey","39.9334303","-77.0498105","1"
"49","NeedGoogleMapsAPIKey","39.9309942","-77.0439872","1"
"50","NeedGoogleMapsAPIKey","39.9324962","-77.0483006","1"
"51","NeedGoogleMapsAPIKey","39.9360447","-77.0565271","1"
"52","NeedGoogleMapsAPIKey","39.931883","-77.0535244","1"
"53","NeedGoogleMapsAPIKey","39.9295405","-77.0543692","1"
"54","NeedGoogleMapsAPIKey","39.9324653","-77.0439939","1"
"55","NeedGoogleMapsAPIKey","39.9342698","-77.0564076","1"
"56","NeedGoogleMapsAPIKey","39.9358167","-77.0567539","1"
"57","NeedGoogleMapsAPIKey","39.9335759","-77.0463043","1"
"58","NeedGoogleMapsAPIKey","39.9335467","-77.0445552","1"
"59","NeedGoogleMapsAPIKey","39.9305948","-77.0554475","1"
"60","NeedGoogleMapsAPIKey","39.9315241","-77.0438474","1"
"61","NeedGoogleMapsAPIKey","39.9352235","-77.0599159","1"
"62","NeedGoogleMapsAPIKey","39.9332558","-77.051151","1"
"63","NeedGoogleMapsAPIKey","39.9303979","-77.0545039","1"
"64","NeedGoogleMapsAPIKey","39.9324964","-77.0496428","1"
"65","NeedGoogleMapsAPIKey","39.9323017","-77.0471795","1"
