"Conewago Valley School District","5","3189","50","50"
"1","NeedGoogleMapsAPIKey","39.7733769","-77.0059581","1"
"2","NeedGoogleMapsAPIKey","39.7794073","-77.0066781","1"
"3","NeedGoogleMapsAPIKey","39.7982889","-77.0181804","1"
"4","NeedGoogleMapsAPIKey","39.7946382","-77.0168264","1"
"5","NeedGoogleMapsAPIKey","39.7965649","-77.0228846","1"
"6","NeedGoogleMapsAPIKey","39.7963158","-77.0124855","1"
"7","NeedGoogleMapsAPIKey","39.7810098","-77.0052091","1"
"8","NeedGoogleMapsAPIKey","39.795695","-77.0193424","1"
"9","NeedGoogleMapsAPIKey","39.7966672","-77.0206114","1"
"10","NeedGoogleMapsAPIKey","39.7707355","-77.0186642","1"
"11","NeedGoogleMapsAPIKey","39.7792443","-77.0035217","1"
"12","NeedGoogleMapsAPIKey","39.7801016","-77.0059248","1"
"13","NeedGoogleMapsAPIKey","39.7962569","-77.0239128","1"
"14","NeedGoogleMapsAPIKey","39.7792288","-77.0041378","1"
"15","NeedGoogleMapsAPIKey","39.7949672","-77.0180018","1"
"16","NeedGoogleMapsAPIKey","39.7978543","-77.0158681","1"
"17","NeedGoogleMapsAPIKey","39.7954509","-77.0184346","1"
"18","NeedGoogleMapsAPIKey","39.7949285","-77.018357","1"
"19","NeedGoogleMapsAPIKey","39.7748784","-77.0060438","1"
"20","NeedGoogleMapsAPIKey","39.7772897","-77.0052906","1"
"21","NeedGoogleMapsAPIKey","39.7944035","-77.0127987","1"
"22","NeedGoogleMapsAPIKey","39.7821266","-77.0094301","1"
"23","NeedGoogleMapsAPIKey","39.7964421","-77.0200873","1"
"24","NeedGoogleMapsAPIKey","39.7977458","-77.0186344","1"
"25","NeedGoogleMapsAPIKey","39.7797172","-77.0058372","1"
"26","NeedGoogleMapsAPIKey","39.7949256","-77.0121406","1"
"27","NeedGoogleMapsAPIKey","39.7783825","-77.004479","1"
"28","NeedGoogleMapsAPIKey","39.7958056","-77.0152847","1"
"29","NeedGoogleMapsAPIKey","39.775162","-77.0060334","1"
"30","NeedGoogleMapsAPIKey","39.7976222","-77.0194331","1"
"31","NeedGoogleMapsAPIKey","39.7954609","-77.0155073","1"
"32","NeedGoogleMapsAPIKey","39.7798251","-77.0057556","1"
"33","NeedGoogleMapsAPIKey","39.7801163","-77.0052079","1"
"34","NeedGoogleMapsAPIKey","39.7947349","-77.0170047","1"
"35","NeedGoogleMapsAPIKey","39.7984017","-77.0173039","1"
"36","NeedGoogleMapsAPIKey","39.7854539","-77.0024484","1"
"37","NeedGoogleMapsAPIKey","39.7959704","-77.0113391","1"
"38","NeedGoogleMapsAPIKey","39.7982893","-77.0179","1"
"39","NeedGoogleMapsAPIKey","39.7966369","-77.0180753","1"
"40","NeedGoogleMapsAPIKey","39.7971714","-77.0169973","1"
"41","NeedGoogleMapsAPIKey","39.7964248","-77.017387","1"
"42","NeedGoogleMapsAPIKey","39.7849743","-77.002863","1"
"43","NeedGoogleMapsAPIKey","39.7707089","-77.0271628","1"
"44","NeedGoogleMapsAPIKey","39.783036","-77.0130581","1"
"45","NeedGoogleMapsAPIKey","39.7963096","-77.0193487","1"
"46","NeedGoogleMapsAPIKey","39.7723157","-77.0065203","1"
"47","NeedGoogleMapsAPIKey","39.7797262","-77.0040825","1"
"48","NeedGoogleMapsAPIKey","39.7960336","-77.0205038","1"
"49","NeedGoogleMapsAPIKey","39.7980359","-77.0147749","1"
"50","NeedGoogleMapsAPIKey","39.7794835","-77.0037855","1"
"51","NeedGoogleMapsAPIKey","39.7800956","-77.0045362","1"
"52","NeedGoogleMapsAPIKey","39.7977253","-77.013373","1"
"53","NeedGoogleMapsAPIKey","39.7790861","-77.0070609","1"
"54","NeedGoogleMapsAPIKey","39.7810774","-77.0043153","1"
"55","NeedGoogleMapsAPIKey","39.7934686","-77.0152647","1"
"56","NeedGoogleMapsAPIKey","39.7962074","-77.0167559","1"
"57","NeedGoogleMapsAPIKey","39.7795888","-77.0064538","1"
"58","NeedGoogleMapsAPIKey","39.7973534","-77.0176021","1"
"59","NeedGoogleMapsAPIKey","39.7922792","-77.0057809","1"
"60","NeedGoogleMapsAPIKey","39.7803774","-77.0280885","1"
"61","NeedGoogleMapsAPIKey","39.797004","-77.020818","1"
"62","NeedGoogleMapsAPIKey","39.7822322","-77.0095866","1"
"63","NeedGoogleMapsAPIKey","39.7775064","-77.005256","1"
"64","NeedGoogleMapsAPIKey","39.795179","-77.0157531","1"
"65","NeedGoogleMapsAPIKey","39.7804993","-77.0054972","1"
