"Fairfield Area School District","1","285","50","50"
"1","NeedGoogleMapsAPIKey","39.7310765","-77.3761527","1"
"2","NeedGoogleMapsAPIKey","39.7220832","-77.3744104","1"
"3","NeedGoogleMapsAPIKey","39.7313843","-77.3798027","1"
"4","NeedGoogleMapsAPIKey","39.7226593","-77.3753697","1"
"5","NeedGoogleMapsAPIKey","39.7259674","-77.367818","1"
"6","NeedGoogleMapsAPIKey","39.7219914","-77.377552","1"
"7","NeedGoogleMapsAPIKey","39.7310938","-77.3747754","1"
"8","NeedGoogleMapsAPIKey","39.7224711","-77.3735059","1"
"9","NeedGoogleMapsAPIKey","39.7312627","-77.37354","1"
"10","NeedGoogleMapsAPIKey","39.7214154","-77.3698961","1"
"11","NeedGoogleMapsAPIKey","39.730019","-77.374826","1"
"12","NeedGoogleMapsAPIKey","39.730116","-77.3733444","1"
"13","NeedGoogleMapsAPIKey","39.7222244","-77.3675456","1"
"14","NeedGoogleMapsAPIKey","39.7230226","-77.3728143","1"
"15","NeedGoogleMapsAPIKey","39.7281695","-77.3717729","1"
"16","NeedGoogleMapsAPIKey","39.7214662","-77.3682632","1"
"17","NeedGoogleMapsAPIKey","39.7294962","-77.3804223","1"
"18","NeedGoogleMapsAPIKey","39.7253598","-77.3824641","1"
"19","NeedGoogleMapsAPIKey","39.7263497","-77.3868633","1"
"20","NeedGoogleMapsAPIKey","39.7320423","-77.3773632","1"
"21","NeedGoogleMapsAPIKey","39.7288259","-77.3717213","1"
"22","NeedGoogleMapsAPIKey","39.7273738","-77.3747775","1"
"23","NeedGoogleMapsAPIKey","39.7207261","-77.3748578","1"
"24","NeedGoogleMapsAPIKey","39.7203922","-77.3257229","1"
"25","NeedGoogleMapsAPIKey","39.7251542","-77.3395929","1"
"26","NeedGoogleMapsAPIKey","39.7275826","-77.3289738","1"
"27","NeedGoogleMapsAPIKey","39.7257657","-77.3373895","1"
"28","NeedGoogleMapsAPIKey","39.7221452","-77.3399242","1"
"29","NeedGoogleMapsAPIKey","39.7258771","-77.3336914","1"
"30","NeedGoogleMapsAPIKey","39.7280962","-77.3378738","1"
"31","NeedGoogleMapsAPIKey","39.726757","-77.3325999","1"
"32","NeedGoogleMapsAPIKey","39.7318311","-77.3846875","1"
"33","NeedGoogleMapsAPIKey","39.7281917","-77.3873977","1"
"34","NeedGoogleMapsAPIKey","39.7372642","-77.3814947","1"
"35","NeedGoogleMapsAPIKey","39.7351269","-77.3819301","1"
"36","NeedGoogleMapsAPIKey","39.7389121","-77.3932137","1"
"37","NeedGoogleMapsAPIKey","39.7339265","-77.3815952","1"
"38","NeedGoogleMapsAPIKey","39.7386761","-77.3868892","1"
"39","NeedGoogleMapsAPIKey","39.7329125","-77.3819609","1"
"40","NeedGoogleMapsAPIKey","39.7329872","-77.3806787","1"
"41","NeedGoogleMapsAPIKey","39.7348292","-77.3804823","1"
"42","NeedGoogleMapsAPIKey","39.7400883","-77.4365651","1"
"43","NeedGoogleMapsAPIKey","39.731713","-77.4335775","1"
"44","NeedGoogleMapsAPIKey","39.7403145","-77.4310078","1"
"45","NeedGoogleMapsAPIKey","39.7251309","-77.4356001","1"
"46","NeedGoogleMapsAPIKey","39.7210725","-77.4440534","1"
"47","NeedGoogleMapsAPIKey","39.7226148","-77.443965","1"
"48","NeedGoogleMapsAPIKey","39.7251502","-77.4387971","1"
"49","NeedGoogleMapsAPIKey","39.7234766","-77.4452597","1"
"50","NeedGoogleMapsAPIKey","39.7397887","-77.4300545","1"
"51","NeedGoogleMapsAPIKey","39.7431751","-77.4050586","1"
"52","NeedGoogleMapsAPIKey","39.7432181","-77.4124353","1"
"53","NeedGoogleMapsAPIKey","39.7442249","-77.4038764","1"
"54","NeedGoogleMapsAPIKey","39.7447487","-77.404905","1"
"55","NeedGoogleMapsAPIKey","39.7418901","-77.4057693","1"
"56","NeedGoogleMapsAPIKey","39.7394347","-77.4000961","1"
"57","NeedGoogleMapsAPIKey","39.7445545","-77.4039852","1"
"58","NeedGoogleMapsAPIKey","39.7438166","-77.4044904","1"
"59","NeedGoogleMapsAPIKey","39.7419867","-77.4015344","1"
"60","NeedGoogleMapsAPIKey","39.7383684","-77.3763764","1"
"61","NeedGoogleMapsAPIKey","39.7397741","-77.3829358","1"
"62","NeedGoogleMapsAPIKey","39.7393083","-77.3794817","1"
"63","NeedGoogleMapsAPIKey","39.7419087","-77.3780152","1"
"64","NeedGoogleMapsAPIKey","39.7423437","-77.3806159","1"
"65","NeedGoogleMapsAPIKey","39.7447468","-77.3719143","1"
"66","NeedGoogleMapsAPIKey","39.7430814","-77.3686051","1"
"67","NeedGoogleMapsAPIKey","39.7404939","-77.3724046","1"
"68","NeedGoogleMapsAPIKey","39.7440603","-77.3779979","1"
"69","NeedGoogleMapsAPIKey","39.7409892","-77.3811194","1"
"70","NeedGoogleMapsAPIKey","39.7379616","-77.3628189","1"
"71","NeedGoogleMapsAPIKey","39.7402786","-77.381052","1"
"72","NeedGoogleMapsAPIKey","39.749405","-77.3967722","1"
"73","NeedGoogleMapsAPIKey","39.7475134","-77.3860122","1"
"74","NeedGoogleMapsAPIKey","39.7408495","-77.3888729","1"
"75","NeedGoogleMapsAPIKey","39.7446611","-77.3879928","1"
"76","NeedGoogleMapsAPIKey","39.7455511","-77.4053077","1"
"77","NeedGoogleMapsAPIKey","39.7465611","-77.3936036","1"
"78","NeedGoogleMapsAPIKey","39.7486845","-77.3903909","1"
"79","NeedGoogleMapsAPIKey","39.7412164","-77.3899706","1"
"80","NeedGoogleMapsAPIKey","39.7426018","-77.3883192","1"
"81","NeedGoogleMapsAPIKey","39.7462559","-77.3989601","1"
"82","NeedGoogleMapsAPIKey","39.7455548","-77.3942313","1"
"83","NeedGoogleMapsAPIKey","39.7477354","-77.3949396","1"
"84","NeedGoogleMapsAPIKey","39.7514445","-77.3936113","1"
"85","NeedGoogleMapsAPIKey","39.7505926","-77.3956997","1"
"86","NeedGoogleMapsAPIKey","39.7488002","-77.3923312","1"
"87","NeedGoogleMapsAPIKey","39.7431476","-77.3908257","1"
"88","NeedGoogleMapsAPIKey","39.74638","-77.3971107","1"
"89","NeedGoogleMapsAPIKey","39.7475055","-77.3863453","1"
"90","NeedGoogleMapsAPIKey","39.7466483","-77.3970593","1"
"91","NeedGoogleMapsAPIKey","39.7431034","-77.3911923","1"
"92","NeedGoogleMapsAPIKey","39.7446124","-77.3890139","1"
"93","NeedGoogleMapsAPIKey","39.7452884","-77.3890657","1"
"94","NeedGoogleMapsAPIKey","39.7449524","-77.3981811","1"
"95","NeedGoogleMapsAPIKey","39.7442677","-77.3836634","1"
"96","NeedGoogleMapsAPIKey","39.7556623","-77.3874758","1"
"97","NeedGoogleMapsAPIKey","39.7558155","-77.382548","1"
"98","NeedGoogleMapsAPIKey","39.7527521","-77.3881414","1"
"99","NeedGoogleMapsAPIKey","39.752637","-77.3832899","1"
"100","NeedGoogleMapsAPIKey","39.7451482","-77.3784246","1"
"101","NeedGoogleMapsAPIKey","39.7476676","-77.3831771","1"
"102","NeedGoogleMapsAPIKey","39.750192","-77.3862907","1"
"103","NeedGoogleMapsAPIKey","39.7525074","-77.3805861","1"
"104","NeedGoogleMapsAPIKey","39.7502701","-77.3800834","1"
"105","NeedGoogleMapsAPIKey","39.7568479","-77.3818823","1"
"106","NeedGoogleMapsAPIKey","39.7507115","-77.3856756","1"
"107","NeedGoogleMapsAPIKey","39.7546308","-77.3830115","1"
"108","NeedGoogleMapsAPIKey","39.7520144","-77.3825679","1"
"109","NeedGoogleMapsAPIKey","39.7528706","-77.3857281","1"
