"Gettysburg Area School District","5","2414","50","50"
"1","NeedGoogleMapsAPIKey","39.7539427","-77.2379082","1"
"2","NeedGoogleMapsAPIKey","39.7243093","-77.21656","1"
"3","NeedGoogleMapsAPIKey","39.7303423","-77.2241715","1"
"4","NeedGoogleMapsAPIKey","39.728853","-77.2275074","1"
"5","NeedGoogleMapsAPIKey","39.7365431","-77.242333","1"
"6","NeedGoogleMapsAPIKey","39.7382692","-77.2414936","1"
"7","NeedGoogleMapsAPIKey","39.7202419","-77.211204","1"
"8","NeedGoogleMapsAPIKey","39.7284543","-77.2497361","1"
"9","NeedGoogleMapsAPIKey","39.7314496","-77.2195634","1"
"10","NeedGoogleMapsAPIKey","39.7381894","-77.2591406","1"
"11","NeedGoogleMapsAPIKey","39.749151","-77.2252458","1"
"12","NeedGoogleMapsAPIKey","39.7285349","-77.2159314","1"
"13","NeedGoogleMapsAPIKey","39.7313347","-77.218745","1"
"14","NeedGoogleMapsAPIKey","39.7285928","-77.2174059","1"
"15","NeedGoogleMapsAPIKey","39.7275432","-77.2079315","1"
"16","NeedGoogleMapsAPIKey","39.7451308","-77.2484393","1"
"17","NeedGoogleMapsAPIKey","39.7505727","-77.2338953","1"
"18","NeedGoogleMapsAPIKey","39.7294031","-77.2249906","1"
"19","NeedGoogleMapsAPIKey","39.7279536","-77.2150843","1"
"20","NeedGoogleMapsAPIKey","39.7326038","-77.2294714","1"
"21","NeedGoogleMapsAPIKey","39.7317384","-77.2202154","1"
"22","NeedGoogleMapsAPIKey","39.7299341","-77.2235166","1"
"23","NeedGoogleMapsAPIKey","39.7315911","-77.2208183","1"
"24","NeedGoogleMapsAPIKey","39.7314667","-77.218906","1"
"25","NeedGoogleMapsAPIKey","39.728411","-77.2165715","1"
"26","NeedGoogleMapsAPIKey","39.7498089","-77.2350121","1"
"27","NeedGoogleMapsAPIKey","39.728038","-77.2256169","1"
"28","NeedGoogleMapsAPIKey","39.7311417","-77.2313251","1"
"29","NeedGoogleMapsAPIKey","39.7379152","-77.2293356","1"
"30","NeedGoogleMapsAPIKey","39.754158","-77.2338974","1"
"31","NeedGoogleMapsAPIKey","39.7357612","-77.2334804","1"
"32","NeedGoogleMapsAPIKey","39.7289164","-77.2169542","1"
"33","NeedGoogleMapsAPIKey","39.7306703","-77.2334563","1"
"34","NeedGoogleMapsAPIKey","39.7303598","-77.2151589","1"
"35","NeedGoogleMapsAPIKey","39.73782","-77.2309392","1"
"36","NeedGoogleMapsAPIKey","39.749365","-77.235278","1"
"37","NeedGoogleMapsAPIKey","39.7372575","-77.2330621","1"
"38","NeedGoogleMapsAPIKey","39.7353865","-77.2672216","1"
"39","NeedGoogleMapsAPIKey","39.7274212","-77.2280193","1"
"40","NeedGoogleMapsAPIKey","39.7314146","-77.2188436","1"
"41","NeedGoogleMapsAPIKey","39.7313192","-77.2310553","1"
"42","NeedGoogleMapsAPIKey","39.7342657","-77.2338224","1"
"43","NeedGoogleMapsAPIKey","39.7449366","-77.2294012","1"
"44","NeedGoogleMapsAPIKey","39.7420076","-77.2580641","1"
"45","NeedGoogleMapsAPIKey","39.75637","-77.22845","1"
"46","NeedGoogleMapsAPIKey","39.7201744","-77.2076122","1"
"47","NeedGoogleMapsAPIKey","39.7324718","-77.230315","1"
"48","NeedGoogleMapsAPIKey","39.7469331","-77.2157728","1"
"49","NeedGoogleMapsAPIKey","39.7302389","-77.2614668","1"
"50","NeedGoogleMapsAPIKey","39.7279661","-77.2160605","1"
"51","NeedGoogleMapsAPIKey","39.7292734","-77.2254672","1"
"52","NeedGoogleMapsAPIKey","39.7331824","-77.2301568","1"
"53","NeedGoogleMapsAPIKey","39.7297744","-77.2246729","1"
