"Gettysburg Area School District","1","324","50","50"
"1","NeedGoogleMapsAPIKey","39.8472032","-77.2186019","1"
"2","NeedGoogleMapsAPIKey","39.8476247","-77.2158227","1"
"3","NeedGoogleMapsAPIKey","39.8586151","-77.2348612","1"
"4","NeedGoogleMapsAPIKey","39.8345264","-77.2308273","1"
"5","NeedGoogleMapsAPIKey","39.851201","-77.2162342","1"
"6","NeedGoogleMapsAPIKey","39.8365499","-77.2316734","1"
"7","NeedGoogleMapsAPIKey","39.847658","-77.2182641","1"
"8","NeedGoogleMapsAPIKey","39.8284544","-77.2318661","1"
"9","NeedGoogleMapsAPIKey","39.8523832","-77.2129891","1"
"10","NeedGoogleMapsAPIKey","39.8295805","-77.2338777","1"
"11","NeedGoogleMapsAPIKey","39.8307549","-77.235122","1"
"12","NeedGoogleMapsAPIKey","39.8284051","-77.2344943","1"
"13","NeedGoogleMapsAPIKey","39.8286647","-77.2342705","1"
"14","NeedGoogleMapsAPIKey","39.8460949","-77.2198862","1"
"15","NeedGoogleMapsAPIKey","39.830999","-77.2360097","1"
"16","NeedGoogleMapsAPIKey","39.8473601","-77.217234","1"
"17","NeedGoogleMapsAPIKey","39.8347906","-77.2287772","1"
"18","NeedGoogleMapsAPIKey","39.8292443","-77.2414025","1"
"19","NeedGoogleMapsAPIKey","39.8509383","-77.2167491","1"
"20","NeedGoogleMapsAPIKey","39.854091","-77.2160016","1"
"21","NeedGoogleMapsAPIKey","39.8338547","-77.2348638","1"
"22","NeedGoogleMapsAPIKey","39.8457332","-77.2200544","1"
"23","NeedGoogleMapsAPIKey","39.8404921","-77.2568421","1"
"24","NeedGoogleMapsAPIKey","39.8626369","-77.2377192","1"
"25","NeedGoogleMapsAPIKey","39.8271932","-77.2377527","1"
"26","NeedGoogleMapsAPIKey","39.8579234","-77.2315905","1"
"27","NeedGoogleMapsAPIKey","39.8373084","-77.225402","1"
"28","NeedGoogleMapsAPIKey","39.8338408","-77.2298608","1"
"29","NeedGoogleMapsAPIKey","39.8279633","-77.2334464","1"
"30","NeedGoogleMapsAPIKey","39.8578591","-77.2459867","1"
"31","NeedGoogleMapsAPIKey","39.8545269","-77.2304523","1"
"32","NeedGoogleMapsAPIKey","39.8367937","-77.2300074","1"
"33","NeedGoogleMapsAPIKey","39.8632697","-77.2429324","1"
"34","NeedGoogleMapsAPIKey","39.8467686","-77.2115211","1"
"35","NeedGoogleMapsAPIKey","39.8521617","-77.2144907","1"
"36","NeedGoogleMapsAPIKey","39.8371937","-77.2266089","1"
"37","NeedGoogleMapsAPIKey","39.8295713","-77.2374748","1"
"38","NeedGoogleMapsAPIKey","39.8303819","-77.2365315","1"
"39","NeedGoogleMapsAPIKey","39.8328759","-77.2287775","1"
"40","NeedGoogleMapsAPIKey","39.8298889","-77.2323003","1"
"41","NeedGoogleMapsAPIKey","39.8632107","-77.2425001","1"
"42","NeedGoogleMapsAPIKey","39.8553527","-77.2280427","1"
"43","NeedGoogleMapsAPIKey","39.8449447","-77.2111072","1"
"44","NeedGoogleMapsAPIKey","39.8503848","-77.2173784","1"
"45","NeedGoogleMapsAPIKey","39.8508603","-77.2313708","1"
"46","NeedGoogleMapsAPIKey","39.8320643","-77.2394464","1"
"47","NeedGoogleMapsAPIKey","39.8607753","-77.2377904","1"
"48","NeedGoogleMapsAPIKey","39.8407126","-77.2611581","1"
"49","NeedGoogleMapsAPIKey","39.8325645","-77.231313","1"
"50","NeedGoogleMapsAPIKey","39.8569404","-77.2283929","1"
"51","NeedGoogleMapsAPIKey","39.858409","-77.2352489","1"
"52","NeedGoogleMapsAPIKey","39.8575638","-77.2329857","1"
"53","NeedGoogleMapsAPIKey","39.8310944","-77.2296376","1"
"54","NeedGoogleMapsAPIKey","39.8558508","-77.2279529","1"
"55","NeedGoogleMapsAPIKey","39.8310651","-77.2399549","1"
"56","NeedGoogleMapsAPIKey","39.8364394","-77.228703","1"
"57","NeedGoogleMapsAPIKey","39.8519519","-77.229945","1"
"58","NeedGoogleMapsAPIKey","39.8460556","-77.2686481","1"
"59","NeedGoogleMapsAPIKey","39.8372262","-77.2259566","1"
"60","NeedGoogleMapsAPIKey","39.8543113","-77.2314359","1"
"61","NeedGoogleMapsAPIKey","39.8531471","-77.2126919","1"
"62","NeedGoogleMapsAPIKey","39.8310403","-77.2411232","1"
"63","NeedGoogleMapsAPIKey","39.8448009","-77.2101953","1"
"64","NeedGoogleMapsAPIKey","39.8493512","-77.2320744","1"
"65","NeedGoogleMapsAPIKey","39.8453342","-77.2675667","1"
"66","NeedGoogleMapsAPIKey","39.8575092","-77.2325142","1"
"67","NeedGoogleMapsAPIKey","39.8589042","-77.2369732","1"
"68","NeedGoogleMapsAPIKey","39.8469773","-77.2201631","1"
"69","NeedGoogleMapsAPIKey","39.8295712","-77.2331216","1"
"70","NeedGoogleMapsAPIKey","39.8388752","-77.2313732","1"
"71","NeedGoogleMapsAPIKey","39.8305952","-77.2404028","1"
"72","NeedGoogleMapsAPIKey","39.8620191","-77.2375304","1"
"73","NeedGoogleMapsAPIKey","39.8570551","-77.2396575","1"
"74","NeedGoogleMapsAPIKey","39.8527463","-77.2288241","1"
"75","NeedGoogleMapsAPIKey","39.8410035","-77.2617018","1"
"76","NeedGoogleMapsAPIKey","39.8447266","-77.2156157","1"
"77","NeedGoogleMapsAPIKey","39.8310813","-77.2366564","1"
"78","NeedGoogleMapsAPIKey","39.8307619","-77.2336539","1"
"79","NeedGoogleMapsAPIKey","39.8464635","-77.2196399","1"
"80","NeedGoogleMapsAPIKey","39.8523278","-77.212775","1"
"81","NeedGoogleMapsAPIKey","39.833623","-77.2421186","1"
"82","NeedGoogleMapsAPIKey","39.846231","-77.2179752","1"
"83","NeedGoogleMapsAPIKey","39.8444439","-77.2157851","1"
"84","NeedGoogleMapsAPIKey","39.8387411","-77.2313385","1"
"85","NeedGoogleMapsAPIKey","39.8411768","-77.2243135","1"
"86","NeedGoogleMapsAPIKey","39.8363733","-77.2272023","1"
"87","NeedGoogleMapsAPIKey","39.8310652","-77.2326568","1"
"88","NeedGoogleMapsAPIKey","39.8276118","-77.230899","1"
"89","NeedGoogleMapsAPIKey","39.8543419","-77.2300287","1"
"90","NeedGoogleMapsAPIKey","39.837215","-77.2298548","1"
"91","NeedGoogleMapsAPIKey","39.8287598","-77.2385048","1"
"92","NeedGoogleMapsAPIKey","39.8471112","-77.2114251","1"
"93","NeedGoogleMapsAPIKey","39.831069","-77.2323173","1"
"94","NeedGoogleMapsAPIKey","39.8281378","-77.2308453","1"
"95","NeedGoogleMapsAPIKey","39.8571297","-77.2329996","1"
"96","NeedGoogleMapsAPIKey","39.8508956","-77.230877","1"
"97","NeedGoogleMapsAPIKey","39.8287387","-77.23128","1"
"98","NeedGoogleMapsAPIKey","39.8391795","-77.2621488","1"
"99","NeedGoogleMapsAPIKey","39.8466389","-77.2182524","1"
"100","NeedGoogleMapsAPIKey","39.8296178","-77.2283185","1"
"101","NeedGoogleMapsAPIKey","39.8296202","-77.2325254","1"
"102","NeedGoogleMapsAPIKey","39.8272493","-77.2373223","1"
"103","NeedGoogleMapsAPIKey","39.8398041","-77.2624666","1"
"104","NeedGoogleMapsAPIKey","39.8283285","-77.2405499","1"
"105","NeedGoogleMapsAPIKey","39.8514576","-77.2623392","1"
"106","NeedGoogleMapsAPIKey","39.8305845","-77.2419227","1"
"107","NeedGoogleMapsAPIKey","39.853613","-77.2315081","1"
"108","NeedGoogleMapsAPIKey","39.826968","-77.2373055","1"
"109","NeedGoogleMapsAPIKey","39.8568213","-77.2325343","1"
"110","NeedGoogleMapsAPIKey","39.8289465","-77.2378811","1"
"111","NeedGoogleMapsAPIKey","39.8365643","-77.2366561","1"
"112","NeedGoogleMapsAPIKey","39.8298327","-77.2343309","1"
"113","NeedGoogleMapsAPIKey","39.8334951","-77.2307111","1"
"114","NeedGoogleMapsAPIKey","39.8310027","-77.2355965","1"
"115","NeedGoogleMapsAPIKey","39.8490506","-77.2173393","1"
"116","NeedGoogleMapsAPIKey","39.8364335","-77.2292004","1"
"117","NeedGoogleMapsAPIKey","39.8520533","-77.2326148","1"
"118","NeedGoogleMapsAPIKey","39.8288266","-77.23201","1"
"119","NeedGoogleMapsAPIKey","39.8367876","-77.2296314","1"
"120","NeedGoogleMapsAPIKey","39.8274652","-77.238235","1"
"121","NeedGoogleMapsAPIKey","39.8296047","-77.2299729","1"
"122","NeedGoogleMapsAPIKey","39.8520831","-77.2274698","1"
"123","NeedGoogleMapsAPIKey","39.8419495","-77.256781","1"
"124","NeedGoogleMapsAPIKey","39.8528114","-77.2129733","1"
"125","NeedGoogleMapsAPIKey","39.8421517","-77.1747141","1"
"126","NeedGoogleMapsAPIKey","39.8484687","-77.1534402","1"
"127","NeedGoogleMapsAPIKey","39.8489094","-77.1808959","1"
"128","NeedGoogleMapsAPIKey","39.8544848","-77.1965011","1"
"129","NeedGoogleMapsAPIKey","39.8536516","-77.15652","1"
"130","NeedGoogleMapsAPIKey","39.8628792","-77.1910261","1"
"131","NeedGoogleMapsAPIKey","39.8568242","-77.1484553","1"
"132","NeedGoogleMapsAPIKey","39.8499","-77.1551923","1"
"133","NeedGoogleMapsAPIKey","39.861625","-77.1450659","1"
"134","NeedGoogleMapsAPIKey","39.8515169","-77.169424","1"
"135","NeedGoogleMapsAPIKey","39.8423202","-77.1751226","1"
"136","NeedGoogleMapsAPIKey","39.8546325","-77.1959111","1"
"137","NeedGoogleMapsAPIKey","39.8637898","-77.1570612","1"
"138","NeedGoogleMapsAPIKey","39.8503309","-77.1708876","1"
"139","NeedGoogleMapsAPIKey","39.8513906","-77.1682149","1"
"140","NeedGoogleMapsAPIKey","39.8526894","-77.144242","1"
"141","NeedGoogleMapsAPIKey","39.862023","-77.1929044","1"
"142","NeedGoogleMapsAPIKey","39.8508445","-77.171241","1"
"143","NeedGoogleMapsAPIKey","39.8519685","-77.1659888","1"
"144","NeedGoogleMapsAPIKey","39.8462435","-77.4038027","1"
"145","NeedGoogleMapsAPIKey","39.8598942","-77.3741786","1"
"146","NeedGoogleMapsAPIKey","39.8560553","-77.3933344","1"
"147","NeedGoogleMapsAPIKey","39.8632065","-77.3818836","1"
"148","NeedGoogleMapsAPIKey","39.8499561","-77.383087","1"
"149","NeedGoogleMapsAPIKey","39.8514222","-77.4129437","1"
"150","NeedGoogleMapsAPIKey","39.8658753","-77.3587797","1"
"151","NeedGoogleMapsAPIKey","39.8508918","-77.3777095","1"
"152","NeedGoogleMapsAPIKey","39.8508086","-77.3872777","1"
"153","NeedGoogleMapsAPIKey","39.864804","-77.3531618","1"
"154","NeedGoogleMapsAPIKey","39.849628","-77.3978357","1"
"155","NeedGoogleMapsAPIKey","39.8757521","-77.376634","1"
"156","NeedGoogleMapsAPIKey","39.8629693","-77.4073673","1"
"157","NeedGoogleMapsAPIKey","39.8674938","-77.3579423","1"
"158","NeedGoogleMapsAPIKey","39.8600041","-77.3687361","1"
"159","NeedGoogleMapsAPIKey","39.8460384","-77.4065492","1"
"160","NeedGoogleMapsAPIKey","39.8504621","-77.4126145","1"
"161","NeedGoogleMapsAPIKey","39.8504917","-77.3833872","1"
"162","NeedGoogleMapsAPIKey","39.8713366","-77.2695467","1"
"163","NeedGoogleMapsAPIKey","39.8593732","-77.255348","1"
"164","NeedGoogleMapsAPIKey","39.8477938","-77.2744093","1"
"165","NeedGoogleMapsAPIKey","39.8775054","-77.2810758","1"
"166","NeedGoogleMapsAPIKey","39.8596306","-77.3006632","1"
"167","NeedGoogleMapsAPIKey","39.8461136","-77.2843583","1"
"168","NeedGoogleMapsAPIKey","39.8584221","-77.2978028","1"
"169","NeedGoogleMapsAPIKey","39.8719861","-77.2887911","1"
"170","NeedGoogleMapsAPIKey","39.8604304","-77.3012775","1"
"171","NeedGoogleMapsAPIKey","39.845292","-77.2749047","1"
"172","NeedGoogleMapsAPIKey","39.8578536","-77.2976693","1"
"173","NeedGoogleMapsAPIKey","39.8580468","-77.2959971","1"
"174","NeedGoogleMapsAPIKey","39.8647691","-77.2453866","1"
"175","NeedGoogleMapsAPIKey","39.8595302","-77.3018482","1"
"176","NeedGoogleMapsAPIKey","39.8461923","-77.2735684","1"
"177","NeedGoogleMapsAPIKey","39.8468952","-77.2751625","1"
"178","NeedGoogleMapsAPIKey","39.8462592","-77.2729466","1"
"179","NeedGoogleMapsAPIKey","39.8469978","-77.2836209","1"
"180","NeedGoogleMapsAPIKey","39.8458496","-77.272315","1"
"181","NeedGoogleMapsAPIKey","39.8501713","-77.2779997","1"
"182","NeedGoogleMapsAPIKey","39.8674678","-77.2704813","1"
"183","NeedGoogleMapsAPIKey","39.8553026","-77.2760218","1"
"184","NeedGoogleMapsAPIKey","39.8752478","-77.2798946","1"
"185","NeedGoogleMapsAPIKey","39.8731725","-77.2552958","1"
"186","NeedGoogleMapsAPIKey","39.8641594","-77.2437431","1"
"187","NeedGoogleMapsAPIKey","39.8666104","-77.245034","1"
"188","NeedGoogleMapsAPIKey","39.8528669","-77.2846099","1"
"189","NeedGoogleMapsAPIKey","39.8478132","-77.2741232","1"
"190","NeedGoogleMapsAPIKey","39.8479348","-77.2818933","1"
"191","NeedGoogleMapsAPIKey","39.8767777","-77.2703106","1"
"192","NeedGoogleMapsAPIKey","39.8681406","-77.2364758","1"
"193","NeedGoogleMapsAPIKey","39.8675226","-77.2340508","1"
"194","NeedGoogleMapsAPIKey","39.8540415","-77.2045284","1"
"195","NeedGoogleMapsAPIKey","39.8635977","-77.2380338","1"
"196","NeedGoogleMapsAPIKey","39.8734955","-77.2052517","1"
"197","NeedGoogleMapsAPIKey","39.8637972","-77.226894","1"
"198","NeedGoogleMapsAPIKey","39.8821269","-77.2139769","1"
"199","NeedGoogleMapsAPIKey","39.8722761","-77.2320587","1"
"200","NeedGoogleMapsAPIKey","39.8562169","-77.2135466","1"
"201","NeedGoogleMapsAPIKey","39.8686378","-77.2356596","1"
"202","NeedGoogleMapsAPIKey","39.8674343","-77.2340116","1"
"203","NeedGoogleMapsAPIKey","39.8685754","-77.2355022","1"
"204","NeedGoogleMapsAPIKey","39.8690415","-77.2353963","1"
"205","NeedGoogleMapsAPIKey","39.8517658","-77.2075734","1"
"206","NeedGoogleMapsAPIKey","39.8651402","-77.2409722","1"
"207","NeedGoogleMapsAPIKey","39.8576805","-77.212413","1"
"208","NeedGoogleMapsAPIKey","39.8674677","-77.2358489","1"
"209","NeedGoogleMapsAPIKey","39.8742422","-77.2201024","1"
"210","NeedGoogleMapsAPIKey","39.8597266","-77.2116917","1"
"211","NeedGoogleMapsAPIKey","39.8852544","-77.343231","1"
"212","NeedGoogleMapsAPIKey","39.9057598","-77.364207","1"
"213","NeedGoogleMapsAPIKey","39.8908353","-77.3745453","1"
"214","NeedGoogleMapsAPIKey","39.8775824","-77.3484593","1"
"215","NeedGoogleMapsAPIKey","39.8784739","-77.348799","1"
"216","NeedGoogleMapsAPIKey","39.8889255","-77.3570522","1"
"217","NeedGoogleMapsAPIKey","39.8900059","-77.368607","1"
"218","NeedGoogleMapsAPIKey","39.8808153","-77.3567989","1"
"219","NeedGoogleMapsAPIKey","39.8824964","-77.354705","1"
"220","NeedGoogleMapsAPIKey","39.8905775","-77.356923","1"
"221","NeedGoogleMapsAPIKey","39.8999486","-77.3729119","1"
"222","NeedGoogleMapsAPIKey","39.8827584","-77.3562286","1"
"223","NeedGoogleMapsAPIKey","39.8896575","-77.3473392","1"
"224","NeedGoogleMapsAPIKey","39.8890736","-77.35848","1"
