"Gettysburg Area School District","1","910","50","50"
"1","NeedGoogleMapsAPIKey","39.7273658","-77.2271619","1"
"2","NeedGoogleMapsAPIKey","39.7277863","-77.2270462","1"
"3","NeedGoogleMapsAPIKey","39.7323471","-77.2296169","1"
"4","NeedGoogleMapsAPIKey","39.7452076","-77.22096","1"
"5","NeedGoogleMapsAPIKey","39.7299354","-77.2251303","1"
"6","NeedGoogleMapsAPIKey","39.7304834","-77.2337525","1"
"7","NeedGoogleMapsAPIKey","39.7294908","-77.2598878","1"
"8","NeedGoogleMapsAPIKey","39.75533","-77.2286445","1"
"9","NeedGoogleMapsAPIKey","39.7280725","-77.2165063","1"
"10","NeedGoogleMapsAPIKey","39.7330346","-77.2298663","1"
"11","NeedGoogleMapsAPIKey","39.7279605","-77.2273501","1"
"12","NeedGoogleMapsAPIKey","39.7202419","-77.211204","1"
"13","NeedGoogleMapsAPIKey","39.7287821","-77.2262646","1"
"14","NeedGoogleMapsAPIKey","39.7369237","-77.2598624","1"
"15","NeedGoogleMapsAPIKey","39.7319386","-77.2194453","1"
"16","NeedGoogleMapsAPIKey","39.737451","-77.2419497","1"
"17","NeedGoogleMapsAPIKey","39.7273627","-77.2255731","1"
"18","NeedGoogleMapsAPIKey","39.7558095","-77.2291069","1"
"19","NeedGoogleMapsAPIKey","39.7424329","-77.2204312","1"
"20","NeedGoogleMapsAPIKey","39.7559044","-77.227343","1"
"21","NeedGoogleMapsAPIKey","39.7396489","-77.2417005","1"
"22","NeedGoogleMapsAPIKey","39.7314218","-77.2620827","1"
"23","NeedGoogleMapsAPIKey","39.7279536","-77.2150843","1"
"24","NeedGoogleMapsAPIKey","39.7308513","-77.2051827","1"
"25","NeedGoogleMapsAPIKey","39.7285928","-77.2174059","1"
"26","NeedGoogleMapsAPIKey","39.7353865","-77.2672216","1"
"27","NeedGoogleMapsAPIKey","39.7549276","-77.2412254","1"
"28","NeedGoogleMapsAPIKey","39.7312225","-77.2610977","1"
"29","NeedGoogleMapsAPIKey","39.7325099","-77.2183988","1"
