"Littlestown Area School District","1","368","50","50"
"1","NeedGoogleMapsAPIKey","39.7244002","-77.1149763","1"
"2","NeedGoogleMapsAPIKey","39.7323186","-77.1120193","1"
"3","NeedGoogleMapsAPIKey","39.7307478","-77.1160361","1"
"4","NeedGoogleMapsAPIKey","39.7325265","-77.1134577","1"
"5","NeedGoogleMapsAPIKey","39.7239562","-77.1222753","1"
"6","NeedGoogleMapsAPIKey","39.7262067","-77.1230374","1"
"7","NeedGoogleMapsAPIKey","39.7311341","-77.1101407","1"
"8","NeedGoogleMapsAPIKey","39.7323595","-77.11137","1"
"9","NeedGoogleMapsAPIKey","39.7234683","-77.1174087","1"
"10","NeedGoogleMapsAPIKey","39.728673","-77.1057106","1"
"11","NeedGoogleMapsAPIKey","39.7302468","-77.1098978","1"
"12","NeedGoogleMapsAPIKey","39.7249342","-77.1180101","1"
"13","NeedGoogleMapsAPIKey","39.7322424","-77.0718958","1"
"14","NeedGoogleMapsAPIKey","39.7305639","-77.0633963","1"
"15","NeedGoogleMapsAPIKey","39.7326996","-77.0714552","1"
"16","NeedGoogleMapsAPIKey","39.729063","-77.0695221","1"
"17","NeedGoogleMapsAPIKey","39.7264863","-77.0674962","1"
"18","NeedGoogleMapsAPIKey","39.7306574","-77.061076","1"
"19","NeedGoogleMapsAPIKey","39.7326368","-77.0688533","1"
"20","NeedGoogleMapsAPIKey","39.7271689","-77.0687365","1"
"21","NeedGoogleMapsAPIKey","39.7306117","-77.0660001","1"
"22","NeedGoogleMapsAPIKey","39.7313549","-77.0611302","1"
"23","NeedGoogleMapsAPIKey","39.7254234","-77.0677229","1"
"24","NeedGoogleMapsAPIKey","39.731728","-77.0650058","1"
"25","NeedGoogleMapsAPIKey","39.73691","-77.096665","1"
"26","NeedGoogleMapsAPIKey","39.722401","-77.090167","1"
"27","NeedGoogleMapsAPIKey","39.7371457","-77.0946818","1"
"28","NeedGoogleMapsAPIKey","39.7216539","-77.0907261","1"
"29","NeedGoogleMapsAPIKey","39.7211798","-77.1011575","1"
"30","NeedGoogleMapsAPIKey","39.7366716","-77.0960388","1"
"31","NeedGoogleMapsAPIKey","39.7361965","-77.0977313","1"
"32","NeedGoogleMapsAPIKey","39.7366479","-77.0999901","1"
"33","NeedGoogleMapsAPIKey","39.7364313","-77.0916261","1"
"34","NeedGoogleMapsAPIKey","39.729081","-77.0948575","1"
"35","NeedGoogleMapsAPIKey","39.7367069","-77.0953329","1"
"36","NeedGoogleMapsAPIKey","39.7349001","-77.0925379","1"
"37","NeedGoogleMapsAPIKey","39.7253694","-77.1043977","1"
