"Allegheny Valley School District","1","351","50","50"
"1","NeedGoogleMapsAPIKey","40.5433163","-79.8121826","1"
"2","NeedGoogleMapsAPIKey","40.5415701","-79.8136753","1"
"3","NeedGoogleMapsAPIKey","40.5421714","-79.8136782","1"
"4","NeedGoogleMapsAPIKey","40.5413318","-79.8128847","1"
"5","NeedGoogleMapsAPIKey","40.5427746","-79.8110909","1"
"6","NeedGoogleMapsAPIKey","40.5416109","-79.812478","1"
"7","NeedGoogleMapsAPIKey","40.5423867","-79.8136754","1"
"8","NeedGoogleMapsAPIKey","40.5426603","-79.8121848","1"
"9","NeedGoogleMapsAPIKey","40.5421828","-79.8116778","1"
"10","NeedGoogleMapsAPIKey","40.5417623","-79.8120414","1"
"11","NeedGoogleMapsAPIKey","40.5434779","-79.8122192","1"
"12","NeedGoogleMapsAPIKey","40.5433244","-79.810172","1"
"13","NeedGoogleMapsAPIKey","40.5428473","-79.8111399","1"
"14","NeedGoogleMapsAPIKey","40.5427597","-79.8102705","1"
"15","NeedGoogleMapsAPIKey","40.5425845","-79.8097969","1"
"16","NeedGoogleMapsAPIKey","40.542784","-79.8115926","1"
"17","NeedGoogleMapsAPIKey","40.5422391","-79.8111562","1"
"18","NeedGoogleMapsAPIKey","40.5433234","-79.8117725","1"
"19","NeedGoogleMapsAPIKey","40.5416518","-79.8129871","1"
"20","NeedGoogleMapsAPIKey","40.5424413","-79.8121434","1"
"21","NeedGoogleMapsAPIKey","40.5428888","-79.8121687","1"
"22","NeedGoogleMapsAPIKey","40.5429747","-79.8096776","1"
"23","NeedGoogleMapsAPIKey","40.543227","-79.8117699","1"
"24","NeedGoogleMapsAPIKey","40.5431933","-79.8098246","1"
"25","NeedGoogleMapsAPIKey","40.5421055","-79.8097744","1"
"26","NeedGoogleMapsAPIKey","40.543982","-79.8121133","1"
"27","NeedGoogleMapsAPIKey","40.542772","-79.8101419","1"
"28","NeedGoogleMapsAPIKey","40.541083","-79.810279","1"
"29","NeedGoogleMapsAPIKey","40.5406519","-79.8116256","1"
"30","NeedGoogleMapsAPIKey","40.541277","-79.8124505","1"
"31","NeedGoogleMapsAPIKey","40.5423228","-79.8098023","1"
"32","NeedGoogleMapsAPIKey","40.5422574","-79.8105892","1"
"33","NeedGoogleMapsAPIKey","40.5408191","-79.8120173","1"
"34","NeedGoogleMapsAPIKey","40.5410763","-79.8103241","1"
"35","NeedGoogleMapsAPIKey","40.5423869","-79.8129671","1"
"36","NeedGoogleMapsAPIKey","40.5416681","-79.8116297","1"
"37","NeedGoogleMapsAPIKey","40.5436555","-79.8106849","1"
"38","NeedGoogleMapsAPIKey","40.5410864","-79.8105191","1"
"39","NeedGoogleMapsAPIKey","40.5427173","-79.8117611","1"
"40","NeedGoogleMapsAPIKey","40.5426926","-79.8114039","1"
"41","NeedGoogleMapsAPIKey","40.5467697","-79.7982876","1"
"42","NeedGoogleMapsAPIKey","40.5487059","-79.8013477","1"
"43","NeedGoogleMapsAPIKey","40.5471901","-79.798926","1"
"44","NeedGoogleMapsAPIKey","40.5459879","-79.801627","1"
"45","NeedGoogleMapsAPIKey","40.5453511","-79.7992285","1"
"46","NeedGoogleMapsAPIKey","40.5468168","-79.7998173","1"
"47","NeedGoogleMapsAPIKey","40.5480729","-79.8009184","1"
"48","NeedGoogleMapsAPIKey","40.5459425","-79.8004238","1"
"49","NeedGoogleMapsAPIKey","40.5460495","-79.7986138","1"
"50","NeedGoogleMapsAPIKey","40.5460923","-79.7997683","1"
"51","NeedGoogleMapsAPIKey","40.5459731","-79.8001419","1"
"52","NeedGoogleMapsAPIKey","40.5459821","-79.8012885","1"
"53","NeedGoogleMapsAPIKey","40.5459565","-79.799261","1"
"54","NeedGoogleMapsAPIKey","40.5467082","-79.7993137","1"
"55","NeedGoogleMapsAPIKey","40.5455746","-79.8004267","1"
"56","NeedGoogleMapsAPIKey","40.5471506","-79.800425","1"
"57","NeedGoogleMapsAPIKey","40.5474201","-79.8008824","1"
"58","NeedGoogleMapsAPIKey","40.5483169","-79.7994094","1"
"59","NeedGoogleMapsAPIKey","40.547438","-79.8003974","1"
"60","NeedGoogleMapsAPIKey","40.5459651","-79.8005627","1"
"61","NeedGoogleMapsAPIKey","40.5471336","-79.8016471","1"
"62","NeedGoogleMapsAPIKey","40.5459528","-79.7998126","1"
"63","NeedGoogleMapsAPIKey","40.5471755","-79.7993621","1"
"64","NeedGoogleMapsAPIKey","40.542736","-79.8056767","1"
"65","NeedGoogleMapsAPIKey","40.5450499","-79.8073853","1"
"66","NeedGoogleMapsAPIKey","40.5431798","-79.8070024","1"
"67","NeedGoogleMapsAPIKey","40.5428687","-79.8073723","1"
"68","NeedGoogleMapsAPIKey","40.5432012","-79.80935","1"
"69","NeedGoogleMapsAPIKey","40.5424104","-79.8078694","1"
"70","NeedGoogleMapsAPIKey","40.5448328","-79.8067315","1"
"71","NeedGoogleMapsAPIKey","40.5427279","-79.8087443","1"
"72","NeedGoogleMapsAPIKey","40.5431308","-79.8056819","1"
"73","NeedGoogleMapsAPIKey","40.5433975","-79.806047","1"
"74","NeedGoogleMapsAPIKey","40.5428167","-79.8093416","1"
"75","NeedGoogleMapsAPIKey","40.5446016","-79.8071207","1"
"76","NeedGoogleMapsAPIKey","40.5415822","-79.8078471","1"
"77","NeedGoogleMapsAPIKey","40.5432012","-79.80935","1"
"78","NeedGoogleMapsAPIKey","40.5454194","-79.806789","1"
"79","NeedGoogleMapsAPIKey","40.5432752","-79.8074099","1"
"80","NeedGoogleMapsAPIKey","40.5442252","-79.807242","1"
"81","NeedGoogleMapsAPIKey","40.5423989","-79.8089628","1"
"82","NeedGoogleMapsAPIKey","40.542368","-79.8083716","1"
"83","NeedGoogleMapsAPIKey","40.5454488","-79.8070948","1"
"84","NeedGoogleMapsAPIKey","40.5428167","-79.8093416","1"
"85","NeedGoogleMapsAPIKey","40.5427829","-79.8067935","1"
"86","NeedGoogleMapsAPIKey","40.5431471","-79.8074053","1"
"87","NeedGoogleMapsAPIKey","40.5436828","-79.8075102","1"
"88","NeedGoogleMapsAPIKey","40.5527506","-79.7872926","1"
"89","NeedGoogleMapsAPIKey","40.5503532","-79.7856795","1"
"90","NeedGoogleMapsAPIKey","40.5489766","-79.7870147","1"
"91","NeedGoogleMapsAPIKey","40.5494993","-79.7855501","1"
"92","NeedGoogleMapsAPIKey","40.5507789","-79.7862294","1"
"93","NeedGoogleMapsAPIKey","40.5512132","-79.785","1"
"94","NeedGoogleMapsAPIKey","40.5499045","-79.7859899","1"
"95","NeedGoogleMapsAPIKey","40.5498764","-79.7873418","1"
"96","NeedGoogleMapsAPIKey","40.5498191","-79.7869318","1"
"97","NeedGoogleMapsAPIKey","40.5489746","-79.7868448","1"
"98","NeedGoogleMapsAPIKey","40.5508243","-79.7880997","1"
"99","NeedGoogleMapsAPIKey","40.5516793","-79.7884261","1"
"100","NeedGoogleMapsAPIKey","40.5513031","-79.7881772","1"
"101","NeedGoogleMapsAPIKey","40.5513164","-79.786646","1"
"102","NeedGoogleMapsAPIKey","40.5523917","-79.7874348","1"
"103","NeedGoogleMapsAPIKey","40.5498187","-79.7887294","1"
"104","NeedGoogleMapsAPIKey","40.5524529","-79.7859068","1"
"105","NeedGoogleMapsAPIKey","40.5523697","-79.7882919","1"
"106","NeedGoogleMapsAPIKey","40.5517393","-79.7857657","1"
"107","NeedGoogleMapsAPIKey","40.5503653","-79.7854434","1"
"108","NeedGoogleMapsAPIKey","40.5503298","-79.7868368","1"
"109","NeedGoogleMapsAPIKey","40.549001","-79.7859234","1"
"110","NeedGoogleMapsAPIKey","40.5494837","-79.7859408","1"
"111","NeedGoogleMapsAPIKey","40.5498718","-79.7876325","1"
"112","NeedGoogleMapsAPIKey","40.5419944","-79.7976407","1"
"113","NeedGoogleMapsAPIKey","40.5401278","-79.7961861","1"
"114","NeedGoogleMapsAPIKey","40.5405784","-79.7977175","1"
"115","NeedGoogleMapsAPIKey","40.5424188","-79.7977036","1"
"116","NeedGoogleMapsAPIKey","40.5424806","-79.7961201","1"
"117","NeedGoogleMapsAPIKey","40.5401966","-79.796908","1"
"118","NeedGoogleMapsAPIKey","40.5400327","-79.7954462","1"
"119","NeedGoogleMapsAPIKey","40.540172","-79.7978318","1"
"120","NeedGoogleMapsAPIKey","40.5408565","-79.7967589","1"
"121","NeedGoogleMapsAPIKey","40.5406824","-79.7971815","1"
"122","NeedGoogleMapsAPIKey","40.5412363","-79.7963533","1"
"123","NeedGoogleMapsAPIKey","40.5414773","-79.7955824","1"
"124","NeedGoogleMapsAPIKey","40.5400825","-79.7961832","1"
"125","NeedGoogleMapsAPIKey","40.5399706","-79.79694","1"
"126","NeedGoogleMapsAPIKey","40.5409057","-79.7971311","1"
"127","NeedGoogleMapsAPIKey","40.5409198","-79.7981947","1"
"128","NeedGoogleMapsAPIKey","40.5415154","-79.7960163","1"
"129","NeedGoogleMapsAPIKey","40.5423669","-79.7975185","1"
"130","NeedGoogleMapsAPIKey","40.5419237","-79.7970267","1"
"131","NeedGoogleMapsAPIKey","40.5405052","-79.7967975","1"
"132","NeedGoogleMapsAPIKey","40.5425333","-79.7951744","1"
