"Avonworth School District","1","510","50","50"
"1","NeedGoogleMapsAPIKey","40.5685598","-80.11381","1"
"2","NeedGoogleMapsAPIKey","40.5685062","-80.1138246","1"
"3","NeedGoogleMapsAPIKey","40.5696002","-80.114705","1"
"4","NeedGoogleMapsAPIKey","40.5697212","-80.1148223","1"
"5","NeedGoogleMapsAPIKey","40.5693761","-80.1133122","1"
"6","NeedGoogleMapsAPIKey","40.5678165","-80.1121597","1"
"7","NeedGoogleMapsAPIKey","40.5682837","-80.1129763","1"
"8","NeedGoogleMapsAPIKey","40.5686305","-80.1116615","1"
"9","NeedGoogleMapsAPIKey","40.5688703","-80.1131273","1"
"10","NeedGoogleMapsAPIKey","40.5689548","-80.1117001","1"
"11","NeedGoogleMapsAPIKey","40.5681616","-80.1137297","1"
"12","NeedGoogleMapsAPIKey","40.570667","-80.1122864","1"
"13","NeedGoogleMapsAPIKey","40.5696644","-80.1146885","1"
"14","NeedGoogleMapsAPIKey","40.5690125","-80.1131683","1"
"15","NeedGoogleMapsAPIKey","40.5678438","-80.1131586","1"
"16","NeedGoogleMapsAPIKey","40.5678772","-80.1129452","1"
"17","NeedGoogleMapsAPIKey","40.5697011","-80.1122406","1"
"18","NeedGoogleMapsAPIKey","40.5680368","-80.1128318","1"
"19","NeedGoogleMapsAPIKey","40.568123","-80.1128583","1"
"20","NeedGoogleMapsAPIKey","40.5681086","-80.1129183","1"
"21","NeedGoogleMapsAPIKey","40.5679467","-80.1121633","1"
"22","NeedGoogleMapsAPIKey","40.56845","-80.113008","1"
"23","NeedGoogleMapsAPIKey","40.5702364","-80.1116986","1"
"24","NeedGoogleMapsAPIKey","40.5680517","-80.1116335","1"
"25","NeedGoogleMapsAPIKey","40.5697799","-80.1151102","1"
"26","NeedGoogleMapsAPIKey","40.5678739","-80.1131738","1"
"27","NeedGoogleMapsAPIKey","40.5698592","-80.112448","1"
"28","NeedGoogleMapsAPIKey","40.5691098","-80.1121915","1"
"29","NeedGoogleMapsAPIKey","40.5692202","-80.1140395","1"
"30","NeedGoogleMapsAPIKey","40.5700154","-80.1112091","1"
"31","NeedGoogleMapsAPIKey","40.5697038","-80.1150971","1"
"32","NeedGoogleMapsAPIKey","40.5692058","-80.1141121","1"
"33","NeedGoogleMapsAPIKey","40.5685936","-80.1130391","1"
"34","NeedGoogleMapsAPIKey","40.5688008","-80.1138922","1"
