"Avonworth School District","1","477","50","50"
"1","NeedGoogleMapsAPIKey","40.5681616","-80.1137297","1"
"2","NeedGoogleMapsAPIKey","40.5678232","-80.1130492","1"
"3","NeedGoogleMapsAPIKey","40.570667","-80.1122864","1"
"4","NeedGoogleMapsAPIKey","40.5685349","-80.1116662","1"
"5","NeedGoogleMapsAPIKey","40.5700867","-80.1125615","1"
"6","NeedGoogleMapsAPIKey","40.5684133","-80.1120973","1"
"7","NeedGoogleMapsAPIKey","40.5695594","-80.1122338","1"
"8","NeedGoogleMapsAPIKey","40.5690496","-80.1140555","1"
"9","NeedGoogleMapsAPIKey","40.5699164","-80.1152292","1"
"10","NeedGoogleMapsAPIKey","40.5700608","-80.1115494","1"
"11","NeedGoogleMapsAPIKey","40.5697176","-80.1151873","1"
"12","NeedGoogleMapsAPIKey","40.5688703","-80.1131273","1"
"13","NeedGoogleMapsAPIKey","40.5678739","-80.1131738","1"
"14","NeedGoogleMapsAPIKey","40.5698592","-80.112448","1"
"15","NeedGoogleMapsAPIKey","40.5705605","-80.1124783","1"
"16","NeedGoogleMapsAPIKey","40.5683688","-80.1138162","1"
"17","NeedGoogleMapsAPIKey","40.5689628","-80.1140279","1"
"18","NeedGoogleMapsAPIKey","40.5696303","-80.114809","1"
"19","NeedGoogleMapsAPIKey","40.5675225","-80.1130663","1"
"20","NeedGoogleMapsAPIKey","40.569398","-80.1140969","1"
"21","NeedGoogleMapsAPIKey","40.5697545","-80.1149264","1"
"22","NeedGoogleMapsAPIKey","40.5697337","-80.1146931","1"
"23","NeedGoogleMapsAPIKey","40.5685062","-80.1138246","1"
"24","NeedGoogleMapsAPIKey","40.5697687","-80.1146226","1"
"25","NeedGoogleMapsAPIKey","40.5697667","-80.1148163","1"
"26","NeedGoogleMapsAPIKey","40.569687","-80.114762","1"
"27","NeedGoogleMapsAPIKey","40.5689315","-80.1139746","1"
"28","NeedGoogleMapsAPIKey","40.5689548","-80.1117001","1"
"29","NeedGoogleMapsAPIKey","40.5697857","-80.1147151","1"
"30","NeedGoogleMapsAPIKey","40.5698496","-80.1150839","1"
"31","NeedGoogleMapsAPIKey","40.571206","-80.1130245","1"
"32","NeedGoogleMapsAPIKey","40.5672552","-80.1127808","1"
"33","NeedGoogleMapsAPIKey","40.5692464","-80.1117121","1"
"34","NeedGoogleMapsAPIKey","40.5126682","-80.103066","1"
"35","NeedGoogleMapsAPIKey","40.5131337","-80.104412","1"
"36","NeedGoogleMapsAPIKey","40.5125627","-80.1059287","1"
"37","NeedGoogleMapsAPIKey","40.5139109","-80.1031946","1"
"38","NeedGoogleMapsAPIKey","40.5139807","-80.1040829","1"
"39","NeedGoogleMapsAPIKey","40.5125048","-80.1035262","1"
"40","NeedGoogleMapsAPIKey","40.5119441","-80.1041013","1"
"41","NeedGoogleMapsAPIKey","40.514024","-80.10499","1"
"42","NeedGoogleMapsAPIKey","40.5148251","-80.1046359","1"
"43","NeedGoogleMapsAPIKey","40.512034","-80.1026276","1"
"44","NeedGoogleMapsAPIKey","40.5114609","-80.1040222","1"
"45","NeedGoogleMapsAPIKey","40.5136764","-80.102749","1"
"46","NeedGoogleMapsAPIKey","40.5132871","-80.103107","1"
"47","NeedGoogleMapsAPIKey","40.5152092","-80.1050839","1"
"48","NeedGoogleMapsAPIKey","40.5121886","-80.1030348","1"
"49","NeedGoogleMapsAPIKey","40.5143318","-80.1046546","1"
"50","NeedGoogleMapsAPIKey","40.5136246","-80.1031465","1"
"51","NeedGoogleMapsAPIKey","40.5135223","-80.1031285","1"
"52","NeedGoogleMapsAPIKey","40.5127774","-80.1030993","1"
"53","NeedGoogleMapsAPIKey","40.5141323","-80.1044994","1"
"54","NeedGoogleMapsAPIKey","40.5151195","-80.1037265","1"
"55","NeedGoogleMapsAPIKey","40.5132159","-80.1031124","1"
"56","NeedGoogleMapsAPIKey","40.5151153","-80.1046618","1"
"57","NeedGoogleMapsAPIKey","40.5127051","-80.1040462","1"
"58","NeedGoogleMapsAPIKey","40.5124749","-80.1048351","1"
"59","NeedGoogleMapsAPIKey","40.5130667","-80.1061942","1"
"60","NeedGoogleMapsAPIKey","40.5134075","-80.1049933","1"
"61","NeedGoogleMapsAPIKey","40.5133152","-80.1048997","1"
"62","NeedGoogleMapsAPIKey","40.5129504","-80.1008604","1"
"63","NeedGoogleMapsAPIKey","40.5121513","-80.1001575","1"
"64","NeedGoogleMapsAPIKey","40.5129378","-80.099542","1"
"65","NeedGoogleMapsAPIKey","40.5130168","-80.100129","1"
"66","NeedGoogleMapsAPIKey","40.5129296","-80.1012701","1"
"67","NeedGoogleMapsAPIKey","40.5128685","-80.1000907","1"
"68","NeedGoogleMapsAPIKey","40.5133176","-80.101312","1"
"69","NeedGoogleMapsAPIKey","40.5129378","-80.099542","1"
"70","NeedGoogleMapsAPIKey","40.5135678","-80.0995679","1"
"71","NeedGoogleMapsAPIKey","40.514754","-80.0997424","1"
"72","NeedGoogleMapsAPIKey","40.5121513","-80.1001575","1"
"73","NeedGoogleMapsAPIKey","40.5134467","-80.1013086","1"
"74","NeedGoogleMapsAPIKey","40.513231","-80.1012925","1"
"75","NeedGoogleMapsAPIKey","40.5129378","-80.099542","1"
"76","NeedGoogleMapsAPIKey","40.5129378","-80.099542","1"
"77","NeedGoogleMapsAPIKey","40.5133323","-80.0987376","1"
"78","NeedGoogleMapsAPIKey","40.5129872","-80.0990594","1"
"79","NeedGoogleMapsAPIKey","40.5142807","-80.0980219","1"
"80","NeedGoogleMapsAPIKey","40.5129378","-80.099542","1"
"81","NeedGoogleMapsAPIKey","40.5130569","-80.098803","1"
"82","NeedGoogleMapsAPIKey","40.5130457","-80.0989239","1"
"83","NeedGoogleMapsAPIKey","40.5141581","-80.1001501","1"
"84","NeedGoogleMapsAPIKey","40.5136881","-80.0987935","1"
"85","NeedGoogleMapsAPIKey","40.5139433","-80.0979889","1"
"86","NeedGoogleMapsAPIKey","40.5130566","-80.0987385","1"
"87","NeedGoogleMapsAPIKey","40.5121513","-80.1001575","1"
"88","NeedGoogleMapsAPIKey","40.5129456","-80.1000598","1"
"89","NeedGoogleMapsAPIKey","40.5157482","-80.0955127","1"
"90","NeedGoogleMapsAPIKey","40.5137525","-80.0975009","1"
"91","NeedGoogleMapsAPIKey","40.5130332","-80.0979011","1"
"92","NeedGoogleMapsAPIKey","40.5142999","-80.0969015","1"
"93","NeedGoogleMapsAPIKey","40.514243","-80.0951311","1"
"94","NeedGoogleMapsAPIKey","40.5140027","-80.0947263","1"
"95","NeedGoogleMapsAPIKey","40.5138451","-80.0943974","1"
"96","NeedGoogleMapsAPIKey","40.512648","-80.0950983","1"
"97","NeedGoogleMapsAPIKey","40.513807","-80.0964256","1"
"98","NeedGoogleMapsAPIKey","40.5123896","-80.0950681","1"
"99","NeedGoogleMapsAPIKey","40.5128904","-80.096698","1"
"100","NeedGoogleMapsAPIKey","40.5125677","-80.0963216","1"
"101","NeedGoogleMapsAPIKey","40.5130819","-80.094481","1"
