"Avonworth School District","1","253","50","50"
"1","NeedGoogleMapsAPIKey","40.569748","-80.1137246","1"
"2","NeedGoogleMapsAPIKey","40.5700608","-80.1115494","1"
"3","NeedGoogleMapsAPIKey","40.5687136","-80.1131022","1"
"4","NeedGoogleMapsAPIKey","40.5696788","-80.1149634","1"
"5","NeedGoogleMapsAPIKey","40.5680517","-80.1116335","1"
"6","NeedGoogleMapsAPIKey","40.5697238","-80.1149642","1"
"7","NeedGoogleMapsAPIKey","40.5698592","-80.112448","1"
"8","NeedGoogleMapsAPIKey","40.5697038","-80.1150971","1"
"9","NeedGoogleMapsAPIKey","40.5692202","-80.1140395","1"
"10","NeedGoogleMapsAPIKey","40.5683688","-80.1138162","1"
"11","NeedGoogleMapsAPIKey","40.5697825","-80.1138396","1"
"12","NeedGoogleMapsAPIKey","40.5700154","-80.1112091","1"
"13","NeedGoogleMapsAPIKey","40.5697212","-80.1148223","1"
"14","NeedGoogleMapsAPIKey","40.5694607","-80.1142024","1"
"15","NeedGoogleMapsAPIKey","40.5691098","-80.1121915","1"
"16","NeedGoogleMapsAPIKey","40.5694338","-80.1117083","1"
"17","NeedGoogleMapsAPIKey","40.5690591","-80.1131304","1"
"18","NeedGoogleMapsAPIKey","40.5124877","-80.1030863","1"
"19","NeedGoogleMapsAPIKey","40.5140435","-80.1031827","1"
"20","NeedGoogleMapsAPIKey","40.5149391","-80.1055102","1"
"21","NeedGoogleMapsAPIKey","40.5129018","-80.1031137","1"
"22","NeedGoogleMapsAPIKey","40.5153301","-80.1047161","1"
"23","NeedGoogleMapsAPIKey","40.5141003","-80.104086","1"
"24","NeedGoogleMapsAPIKey","40.5146879","-80.1032128","1"
"25","NeedGoogleMapsAPIKey","40.5147113","-80.1036943","1"
"26","NeedGoogleMapsAPIKey","40.5137337","-80.1045359","1"
"27","NeedGoogleMapsAPIKey","40.5152092","-80.1050839","1"
"28","NeedGoogleMapsAPIKey","40.5149131","-80.1051157","1"
"29","NeedGoogleMapsAPIKey","40.5130566","-80.1056775","1"
"30","NeedGoogleMapsAPIKey","40.512707","-80.102714","1"
"31","NeedGoogleMapsAPIKey","40.5124749","-80.1048351","1"
"32","NeedGoogleMapsAPIKey","40.5134075","-80.1049933","1"
"33","NeedGoogleMapsAPIKey","40.5134717","-80.1036701","1"
