"Baldwin-Whitehall School District","1","1008","50","50"
"1","NeedGoogleMapsAPIKey","40.3627248","-80.0008964","1"
"2","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"3","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"4","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"5","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"6","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"7","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"8","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"9","NeedGoogleMapsAPIKey","40.3659208","-79.999772","1"
"10","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"11","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"12","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"13","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"14","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"15","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"16","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"17","NeedGoogleMapsAPIKey","40.3649543","-80.000797","1"
"18","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"19","NeedGoogleMapsAPIKey","40.3655547","-80.0014635","1"
"20","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"21","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"22","NeedGoogleMapsAPIKey","40.3657705","-80.0018613","1"
"23","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"24","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"25","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"26","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"27","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"28","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"29","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"30","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"31","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"32","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"33","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"34","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"35","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"36","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"37","NeedGoogleMapsAPIKey","40.365877","-80.0005549","1"
"38","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"39","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"40","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"41","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"42","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"43","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"44","NeedGoogleMapsAPIKey","40.3644756","-80.0001374","1"
"45","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"46","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"47","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"48","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"49","NeedGoogleMapsAPIKey","40.364867","-80.0004559","1"
"50","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"51","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"52","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"53","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"54","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"55","NeedGoogleMapsAPIKey","40.3661245","-80.0012373","1"
"56","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"57","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"58","NeedGoogleMapsAPIKey","40.3665993","-79.9998866","1"
"59","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"60","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"61","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"62","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"63","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"64","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"65","NeedGoogleMapsAPIKey","40.3646212","-79.999911","1"
"66","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"67","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"68","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"69","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"70","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"71","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"72","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"73","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"74","NeedGoogleMapsAPIKey","40.3653094","-79.999808","1"
"75","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"76","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"77","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"78","NeedGoogleMapsAPIKey","40.3665419","-80.0008994","1"
"79","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"80","NeedGoogleMapsAPIKey","40.3629418","-79.9983725","1"
"81","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"82","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"83","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"84","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"85","NeedGoogleMapsAPIKey","40.3665091","-80.0006499","1"
"86","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"87","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"88","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"89","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"90","NeedGoogleMapsAPIKey","40.3647787","-80.0005635","1"
"91","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"92","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"93","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"94","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"95","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"96","NeedGoogleMapsAPIKey","40.3654592","-79.9998008","1"
"97","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"98","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"99","NeedGoogleMapsAPIKey","40.3632924","-80.0013081","1"
"100","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"101","NeedGoogleMapsAPIKey","40.3656428","-80.0016513","1"
"102","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"103","NeedGoogleMapsAPIKey","40.3661499","-80.0013459","1"
"104","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"105","NeedGoogleMapsAPIKey","40.365372","-80.000555","1"
"106","NeedGoogleMapsAPIKey","40.364015","-80.0011168","1"
"107","NeedGoogleMapsAPIKey","40.3651878","-80.0017913","1"
"108","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"109","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"110","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"111","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"112","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"113","NeedGoogleMapsAPIKey","40.3657205","-80.0017494","1"
"114","NeedGoogleMapsAPIKey","40.3659442","-80.0008784","1"
"115","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"116","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"117","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"118","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"119","NeedGoogleMapsAPIKey","40.3646048","-79.9999909","1"
"120","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"121","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"122","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"123","NeedGoogleMapsAPIKey","40.3650291","-80.001213","1"
"124","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"125","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"126","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"127","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"128","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"129","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"130","NeedGoogleMapsAPIKey","40.3651466","-80.0016642","1"
"131","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"132","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
